query-id	corpus-id	score
1292	56893404	1
742	32159283	1
1196	25649714	1
219	21366394	1
879	8426046	1
1216	24142891	1
1020	9433958	1
589	10984005	1
208	13519661	1
956	12956194	1
560	40096222	1
410	14924526	1
354	8774475	1
532	12991445	1
212	22038539	1
936	5483793	1
628	24512064	1
1278	11335781	1
100	4381486	1
75	4387784	1
674	2095573	1
887	18855191	1
113	6157837	1
314	4347374	1
644	13619127	1
830	1897324	1
5	13734012	1
1150	11369420	1
324	2014909	1
1363	8290953	1
248	1568684	1
1121	4456756	1
1225	9650982	1
440	4423559	1
814	33387953	1
1290	4687948	1
775	32275758	1
94	1215116	1
279	14376683	1
56	4709641	1
1191	30655442	1
1303	12631697	1
1088	37549932	1
527	3863543	1
837	15928989	1
183	12827098	1
268	970012	1
143	10582939	1
1130	17997584	1
53	45638119	1
768	6421792	1
993	16472469	1
132	7975937	1
350	16927286	1
811	19799455	1
575	10300888	1
577	5289038	1
163	18872233	1
516	29564505	1
1270	13900610	1
808	36606083	1
517	15663829	1
1104	3898784	1
501	17930286	1
1389	23895668	1
436	14637235	1
914	3203590	1
3	14717500	1
649	12789595	1
907	6923961	1
784	2356950	1
384	13770184	1
783	40632104	1
1062	20381484	1
911	11254556	1
691	10991183	1
1385	306006	1
1012	9745001	1
536	16056514	1
437	18399038	1
636	24294572	1
903	10648422	1
171	12670680	1
623	17000834	1
1204	31141365	1
793	8551160	1
312	6173523	1
847	16787954	1
852	13843341	1
1344	9559146	1
1259	24341590	1
431	28937856	1
1262	44172171	1
1137	33370	1
1185	16737210	1
1099	7662206	1
957	123859	1
729	26851674	1
300	3553087	1
922	17077004	1
781	24338780	1
295	20310709	1
1332	5304891	1
1370	2425364	1
478	14767844	1
521	34873974	1
718	17587795	1
1335	27910499	1
1202	3475317	1
185	18340282	1
1273	11041152	1
513	13230773	1
1144	10071552	1
820	8646760	1
1175	31272411	1
230	3067015	1
198	2177022	1
380	19005293	1
528	5476778	1
115	33872649	1
715	18421962	1
13	1606628	1
1319	16284655	1
845	17741440	1
1187	52873726	1
1221	19736671	1
1282	23649163	1
770	15476777	1
514	16256507	1
1089	17628888	1
238	2251426	1
721	1834762	1
237	4942718	1
554	1049501	1
236	4388470	1
1107	20532591	1
756	2831620	1
593	19675911	1
692	24088502	1
960	8780599	1
1194	11419230	1
805	22180793	1
1014	6277638	1
613	9638032	1
421	11172205	1
1337	20231138	1
232	10536636	1
598	25742130	1
415	6309659	1
1024	5373138	1
839	1469751	1
386	16495649	1
118	6372244	1
54	49556906	1
539	13282296	1
551	33499189	1
921	1642727	1
137	26016929	1
1382	17755060	1
338	23349986	1
569	23460562	1
502	13071728	1
1232	13905670	1
129	27768226	1
508	13980338	1
702	4350400	1
294	10874408	1
1	31715818	1
982	2988714	1
1019	11603066	1
274	11614737	1
552	1471041	1
239	14079881	1
1049	12486491	1
399	791050	1
1245	7662395	1
1207	18909530	1
388	1148122	1
1199	16760369	1
213	13625993	1
148	1084345	1
1272	17081238	1
298	39381118	1
42	18174210	1
823	15319019	1
1298	11718220	1
785	12471115	1
1395	17717391	1
544	24221369	1
690	18750453	1
723	5531479	1
535	39368721	1
744	8460275	1
1200	3441524	1
727	7521113	1
1146	13906581	1
832	30303335	1
587	16999023	1
50	12580014	1
904	7370282	1
